Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7944987,Sunset Park,Paul Auster,"Auster, Paul",,"=""0805092862""","=""9780805092868""",0,3.60,Henry Holt and Co.,Hardcover,309,2010,2010,2021/05/04,2021/05/04,,,read,,,,1,0
38462,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",5,4.34,Penguin,Paperback,159,2000,1956,2021/04/03,2020/08/21,,,read,,,,1,0
19635,Anagrams,Lorrie Moore,"Moore, Lorrie",,"=""0446672726""","=""9780446672726""",0,3.92,Grand Central Publishing,Paperback,228,1997,1986,2021/03/22,2021/03/22,,,read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",4,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,2021/02/26,2020/08/21,,,read,,,,1,0
21412400,The First Bad Man,Miranda July,"July, Miranda",,"=""1439172560""","=""9781439172568""",0,3.67,Scribner,Hardcover,288,2015,2015,2021/02/22,2021/02/22,,,read,,,,1,0
27845690,The Course of Love,Alain de Botton,"Botton, Alain de",,"=""0241145473""","=""9780241145470""",0,4.01,Hamish Hamilton,Hardcover,240,2016,2016,,2021/02/01,to-read,to-read (#27),to-read,,,,0,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",0,4.15,Ballantine Books,Paperback,415,2014,2012,,2020/08/22,,,read,,,,1,0
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",0,3.89,Vintage,Paperback,226,2004,2003,,2020/08/21,,,read,,,,1,0
390562,What the Buddha Taught,Walpola Rahula,"Rahula, Walpola",,"=""0802130313""","=""9780802130310""",0,4.18,Grove Press,Paperback,151,1994,1959,,2021/01/30,,,read,,,,1,0
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",0,4.07,Vintage,Mass Market Paperback,397,2006,1998,,2021/01/30,,,read,,,,1,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.49,Metropolitan Books,Hardcover,282,2014,2014,,2021/01/30,,,read,,,,1,0
13330771,Hallucinations,Oliver Sacks,"Sacks, Oliver",,"=""0307957241""","=""9780307957245""",0,3.93,Knopf,Hardcover,326,2012,2012,,2021/01/30,,,read,,,,1,0
23422,The Art of Travel (Vintage International),Alain de Botton,"Botton, Alain de",,"=""0375725342""","=""9780375725340""",0,3.82,Vintage,Paperback,272,2004,2002,,2021/01/30,,,read,,,,1,0
36442813,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""073521610X""","=""9780735216105""",0,4.13,Riverhead Books,Hardcover,224,2018,2017,,2021/01/30,,,read,,,,1,0
373969,The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,"Pinker, Steven",,"=""0670063274""","=""9780670063277""",0,3.91,Viking Penguin,Hardcover,499,2007,2007,,2021/01/30,,,read,,,,1,0
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",0,4.20,Viking,Hardcover,576,2018,2018,,2021/01/30,,,read,,,,1,0
